Timestep	Region	Deaths	Casualties	Sheltered
41	Region03	0	0	0
41	Region04	0	0	0
41	Region05	0	0	0
41	Region06	0	0	0
41	Region07	0	0	0
41	Region08	0	0	1
41	Region09	0	0	0
41	Region10	0	0	0
41	Region11	0	0	0
41	Region12	0	0	0
41	Region13	0	0	1
41	Region14	0	0	0
41	Region15	0	0	0
41	Region16	0	0	0
42	Region01	0	0	0
42	Region02	0	0	0
42	Region03	0	0	0
42	Region04	0	0	0
42	Region05	0	0	0
42	Region06	0	0	0
42	Region07	0	0	0
42	Region08	0	0	1
42	Region09	0	0	0
42	Region10	0	0	0
42	Region11	0	0	0
42	Region12	0	0	0
42	Region13	0	0	0
42	Region14	0	0	0
42	Region15	0	0	0
42	Region16	0	0	0
43	Region01	0	0	0
43	Region02	0	0	0
43	Region03	0	0	0
43	Region04	0	0	0
43	Region05	0	0	0
43	Region06	0	0	0
43	Region07	0	0	0
43	Region08	0	0	1
43	Region09	0	0	0
43	Region10	0	0	0
43	Region11	0	0	0
43	Region12	0	0	0
43	Region13	0	0	1
43	Region14	0	0	0
43	Region15	0	0	0
43	Region16	0	0	0
44	Region01	0	0	0
44	Region02	0	0	0
44	Region03	0	0	0
44	Region04	0	0	0
44	Region05	0	0	0
44	Region06	0	0	0
44	Region07	0	0	0
44	Region08	0	0	1
44	Region09	0	0	0
44	Region10	0	0	0
44	Region11	0	0	0
44	Region12	0	0	0
44	Region13	0	0	0
44	Region14	0	0	0
44	Region15	0	0	0
44	Region16	0	0	0
45	Region01	0	1	0
45	Region02	0	0	0
45	Region03	0	0	0
45	Region04	0	0	0
45	Region05	0	2	0
45	Region06	0	0	0
45	Region07	0	1	0
45	Region08	0	0	1
45	Region09	0	0	0
45	Region10	0	0	0
45	Region11	0	0	0
45	Region12	0	0	0
45	Region13	0	0	1
45	Region14	0	0	0
45	Region15	0	0	0
45	Region16	0	0	1
46	Region01	0	0	0
46	Region02	0	0	0
46	Region03	0	0	0
46	Region04	0	0	0
46	Region05	0	3	1
46	Region06	0	0	0
46	Region07	0	1	0
46	Region08	0	0	1
46	Region09	0	0	0
46	Region10	0	0	0
46	Region11	0	0	0
46	Region12	0	0	0
46	Region13	0	0	0
46	Region14	0	0	0
46	Region15	0	0	0
46	Region16	0	0	1
47	Region01	0	0	0
47	Region02	0	0	0
47	Region03	0	0	0
47	Region04	0	0	0
47	Region05	0	3	0
47	Region06	0	2	0
47	Region07	0	1	0
47	Region08	0	0	1
47	Region09	0	0	0
47	Region10	0	0	0
47	Region11	0	0	0
47	Region12	0	0	0
47	Region13	0	0	1
47	Region14	0	0	0
47	Region15	0	0	0
47	Region16	0	0	1
48	Region01	0	1	0
48	Region02	0	0	0
48	Region03	0	2	0
48	Region04	0	0	0
48	Region05	0	3	1
48	Region06	0	2	0
48	Region07	0	3	0
48	Region08	0	2	1
48	Region09	0	1	0
48	Region10	0	0	0
48	Region11	0	0	0
48	Region12	0	0	0
48	Region13	0	0	0
48	Region14	0	0	0
48	Region15	0	0	0
48	Region16	0	0	1
49	Region01	0	0	0
49	Region02	0	0	0
49	Region03	0	0	0
49	Region04	0	0	0
49	Region05	0	1	0
49	Region06	0	0	0
49	Region07	0	1	0
49	Region08	0	0	1
49	Region09	0	0	0
49	Region10	0	0	0
49	Region11	0	1	0
49	Region12	0	2	0
49	Region13	0	0	1
49	Region14	0	0	0
49	Region15	0	0	0
49	Region16	0	1	1
50	Region01	0	0	0
50	Region02	0	0	0
50	Region03	0	0	0
50	Region04	0	0	0
50	Region05	0	0	1
50	Region06	0	0	0
50	Region07	0	0	0
50	Region08	0	0	1
50	Region09	0	0	0
50	Region10	0	0	0
50	Region11	0	0	0
50	Region12	0	1	0
50	Region13	0	0	0
50	Region14	0	0	0
50	Region15	0	0	0
50	Region16	0	0	1
51	Region01	0	0	0
51	Region02	0	0	0
51	Region03	0	0	0
51	Region04	0	1	0
51	Region05	0	0	1
51	Region06	0	0	0
51	Region07	0	0	0
51	Region08	0	0	1
51	Region09	0	0	0
51	Region10	0	0	0
51	Region11	0	0	0
51	Region12	0	0	0
51	Region13	0	0	0
51	Region14	0	0	0
51	Region15	0	0	0
51	Region16	0	0	1
52	Region01	0	0	0
52	Region02	0	0	0
52	Region03	0	0	0
52	Region04	0	0	0
52	Region05	0	0	1
52	Region06	0	0	0
52	Region07	0	0	0
52	Region08	0	0	1
52	Region09	0	0	0
52	Region10	0	0	0
52	Region11	0	0	0
52	Region12	0	0	0
52	Region13	0	0	0
52	Region14	0	0	0
52	Region15	0	0	0
52	Region16	0	0	1
53	Region01	0	0	0
53	Region02	0	0	0
53	Region03	0	0	0
53	Region04	0	1	0
53	Region05	0	0	1
53	Region06	0	0	0
53	Region07	0	0	0
53	Region08	0	0	1
53	Region09	0	0	0
53	Region10	0	0	0
53	Region11	0	0	0
53	Region12	0	0	0
53	Region13	0	0	0
53	Region14	0	0	0
53	Region15	0	0	0
53	Region16	0	0	1
54	Region01	0	0	0
54	Region02	0	0	0
54	Region03	0	0	0
54	Region04	0	0	0
54	Region05	0	0	0
54	Region06	0	0	0
54	Region07	0	0	0
54	Region08	0	0	1
54	Region09	0	0	0
54	Region10	0	0	0
54	Region11	0	0	0
54	Region12	0	0	0
54	Region13	0	0	1
54	Region14	0	0	0
54	Region15	0	0	0
54	Region16	0	0	1
55	Region01	0	0	0
55	Region02	0	0	0
55	Region03	0	0	0
55	Region04	0	0	0
55	Region05	0	0	1
55	Region06	0	0	0
55	Region07	0	0	0
55	Region08	0	0	1
55	Region09	0	0	0
55	Region10	0	0	0
55	Region11	0	0	0
55	Region12	0	0	0
55	Region13	0	0	0
55	Region14	0	0	0
55	Region15	0	0	0
55	Region16	0	0	0
56	Region01	0	0	0
56	Region02	0	0	0
56	Region03	0	0	0
56	Region04	0	0	0
56	Region05	0	0	0
56	Region06	0	0	0
56	Region07	0	0	0
56	Region08	0	0	1
56	Region09	0	0	0
56	Region10	0	0	0
56	Region11	0	0	0
56	Region12	0	0	0
56	Region13	0	0	0
56	Region14	0	0	0
56	Region15	0	0	0
56	Region16	0	0	0
57	Region01	0	0	0
57	Region02	0	0	0
57	Region03	0	0	0
57	Region04	0	0	0
57	Region05	0	0	0
57	Region06	0	0	0
57	Region07	0	0	0
57	Region08	0	0	0
57	Region09	0	0	0
57	Region10	0	0	0
57	Region11	0	0	0
57	Region12	0	0	0
57	Region13	0	0	0
57	Region14	0	0	0
57	Region15	0	0	0
57	Region16	0	0	0
58	Region01	0	0	0
58	Region02	0	0	0
58	Region03	0	0	0
58	Region04	0	0	0
58	Region05	0	0	0
58	Region06	0	0	0
58	Region07	0	0	0
58	Region08	0	0	0
58	Region09	0	0	0
58	Region10	0	0	0
58	Region11	0	0	0
58	Region12	0	0	0
58	Region13	0	0	0
58	Region14	0	0	0
58	Region15	0	0	0
58	Region16	0	0	0
59	Region01	0	0	0
59	Region02	0	0	0
59	Region03	0	0	0
59	Region04	0	0	0
59	Region05	0	0	0
59	Region06	0	0	0
59	Region07	0	0	0
59	Region08	0	0	1
59	Region09	0	0	1
59	Region10	0	0	0
59	Region11	0	0	0
59	Region12	0	0	0
59	Region13	0	0	1
59	Region14	0	0	0
59	Region15	0	0	0
59	Region16	0	0	1
60	Region01	0	0	0
60	Region02	0	0	0
60	Region03	0	0	0
60	Region04	0	0	0
60	Region05	0	0	1
60	Region06	0	0	0
60	Region07	0	0	0
60	Region08	0	0	1
60	Region09	0	0	0
60	Region10	0	1	0
60	Region11	0	0	0
60	Region12	0	0	0
60	Region13	0	0	0
60	Region14	0	0	0
60	Region15	0	0	0
60	Region16	0	0	1
61	Region01	0	0	0
61	Region02	0	0	0
61	Region03	0	0	0
61	Region04	0	0	0
61	Region05	0	0	0
61	Region06	0	0	0
61	Region07	0	0	0
61	Region08	0	0	0
61	Region09	0	0	0
61	Region10	0	0	0
61	Region11	0	1	0
61	Region12	0	0	0
61	Region13	0	0	0
61	Region14	0	1	0
61	Region15	0	2	0
61	Region16	0	0	0
62	Region01	0	0	0
62	Region02	0	0	0
62	Region03	0	0	0
62	Region04	0	0	0
62	Region05	0	0	0
62	Region06	0	0	0
62	Region07	0	2	0
62	Region08	0	0	0
62	Region09	0	0	0
62	Region10	0	1	0
62	Region11	0	1	0
62	Region12	0	2	0
62	Region13	0	0	0
62	Region14	0	0	0
62	Region15	0	1	0
62	Region16	0	0	0
63	Region01	0	0	0
63	Region02	0	0	0
63	Region03	0	0	0
63	Region04	0	1	0
63	Region05	0	1	0
63	Region06	0	1	0
63	Region07	0	3	0
63	Region08	0	3	0
63	Region09	0	0	0
63	Region10	0	0	0
63	Region11	0	0	0
63	Region12	0	3	0
63	Region13	0	0	0
63	Region14	0	1	0
63	Region15	0	1	0
63	Region16	0	1	0
64	Region01	0	0	0
64	Region02	0	0	0
64	Region03	0	0	0
64	Region04	0	1	0
64	Region05	0	0	0
64	Region06	0	1	0
64	Region07	0	4	0
64	Region08	0	0	0
64	Region09	0	0	0
64	Region10	0	1	0
64	Region11	0	1	0
64	Region12	0	2	0
64	Region13	0	1	0
64	Region14	0	0	0
64	Region15	0	2	0
64	Region16	0	1	0
65	Region01	0	1	0
65	Region02	0	0	0
65	Region03	0	0	0
65	Region04	0	3	0
65	Region05	0	1	0
65	Region06	0	1	0
65	Region07	0	3	0
65	Region08	0	1	0
65	Region09	0	0	0
65	Region10	0	2	0
65	Region11	0	2	0
65	Region12	0	2	0
65	Region13	0	0	0
65	Region14	0	0	0
65	Region15	0	2	0
65	Region16	0	1	0
66	Region01	0	1	0
66	Region02	0	0	0
66	Region03	0	0	0
66	Region04	0	4	0
66	Region05	0	2	0
66	Region06	0	0	0
66	Region07	0	3	0
66	Region08	0	3	0
66	Region09	0	0	0
66	Region10	0	1	0
66	Region11	0	0	0
66	Region12	0	5	0
66	Region13	0	0	0
66	Region14	0	0	0
66	Region15	0	2	0
66	Region16	0	1	0
67	Region01	0	1	0
67	Region02	0	0	0
67	Region03	0	1	0
67	Region04	0	3	0
67	Region05	0	2	0
67	Region06	0	0	0
67	Region07	0	2	0
67	Region08	0	0	0
67	Region09	0	0	0
67	Region10	0	0	0
67	Region11	0	1	0
67	Region12	0	4	0
67	Region13	0	0	0
67	Region14	0	0	0
67	Region15	0	1	0
67	Region16	0	0	0
68	Region01	0	0	0
68	Region02	0	0	0
68	Region03	0	0	0
68	Region04	0	1	0
68	Region05	0	0	0
68	Region06	0	0	0
68	Region07	0	0	0
68	Region08	0	0	0
68	Region09	0	0	0
68	Region10	0	0	0
68	Region11	0	0	0
68	Region12	0	1	0
68	Region13	0	0	0
68	Region14	0	0	0
68	Region15	0	0	0
68	Region16	0	0	0
69	Region01	0	0	0
69	Region02	0	0	0
69	Region03	0	0	0
69	Region04	0	0	0
69	Region05	0	0	0
69	Region06	0	1	0
69	Region07	0	0	0
69	Region08	0	0	0
69	Region09	0	0	0
69	Region10	0	0	0
69	Region11	0	0	0
69	Region12	0	0	0
69	Region13	0	0	0
69	Region14	0	0	0
69	Region15	0	0	0
69	Region16	0	0	0
70	Region01	0	0	0
70	Region02	0	0	0
70	Region03	0	0	0
70	Region04	0	0	0
70	Region05	0	0	0
70	Region06	0	0	0
70	Region07	0	0	0
70	Region08	0	0	0
70	Region09	0	0	0
70	Region10	0	0	0
70	Region11	0	0	0
70	Region12	0	0	0
70	Region13	0	0	0
70	Region14	0	0	0
70	Region15	0	0	0
70	Region16	0	0	0
71	Region01	0	0	0
71	Region02	0	0	0
71	Region03	0	0	0
71	Region04	0	0	0
71	Region05	0	0	0
71	Region06	0	0	0
71	Region07	0	0	0
71	Region08	0	0	0
71	Region09	0	0	0
71	Region10	0	0	0
71	Region11	0	0	0
71	Region12	0	0	0
71	Region13	0	0	0
71	Region14	0	0	0
71	Region15	0	0	0
71	Region16	0	0	0
72	Region01	0	0	0
72	Region02	0	0	0
72	Region03	0	0	0
72	Region04	0	0	0
72	Region05	0	0	0
72	Region06	0	0	0
72	Region07	0	0	0
72	Region08	0	0	0
72	Region09	0	0	0
72	Region10	0	0	0
72	Region11	0	0	0
72	Region12	0	0	0
72	Region13	0	0	0
72	Region14	0	0	0
72	Region15	0	0	0
72	Region16	0	0	0
73	Region01	0	0	0
73	Region02	0	0	0
73	Region03	0	0	0
73	Region04	0	0	0
73	Region05	0	0	1
73	Region06	0	0	0
