Name	Timestep	Value
Nature phase	150	none
Nature action	151	Nature-evolve
Nature category	151	0
Nature days	151	1
Nature location	151	none
Nature phase	151	none
Nature action	152	Nature-evolve
Nature category	152	0
Nature days	152	2
Nature location	152	none
Nature phase	152	none
Nature action	153	Nature-evolve
Nature category	153	4
Nature days	153	0
Nature location	153	Region09
Nature phase	153	approaching
Nature action	154	Nature-evolve
Nature category	154	4
Nature days	154	1
Nature location	154	Region09
Nature phase	154	approaching
Nature action	155	Nature-evolve
Nature category	155	4
Nature days	155	2
Nature location	155	Region09
Nature phase	155	approaching
Nature action	156	Nature-evolve
Nature category	156	4
Nature days	156	0
Nature location	156	Region09
Nature phase	156	active
Nature action	157	Nature-evolve
Nature category	157	4
Nature days	157	1
Nature location	157	Region10
Nature phase	157	active
Nature action	158	Nature-evolve
Nature category	158	4
Nature days	158	2
Nature location	158	Region10
Nature phase	158	active
Nature action	159	Nature-evolve
Nature category	159	4
Nature days	159	3
Nature location	159	Region06
Nature phase	159	active
Nature action	160	Nature-evolve
Nature category	160	4
Nature days	160	4
Nature location	160	Region06
Nature phase	160	active
Nature action	161	Nature-evolve
Nature category	161	4
Nature days	161	5
Nature location	161	Region07
Nature phase	161	active
Nature action	162	Nature-evolve
Nature category	162	4
Nature days	162	6
Nature location	162	Region03
Nature phase	162	active
Nature action	163	Nature-evolve
Nature category	163	4
Nature days	163	7
Nature location	163	none
Nature phase	163	active
Nature action	164	Nature-evolve
Nature category	164	0
Nature days	164	0
Nature location	164	none
Nature phase	164	none
Nature action	165	Nature-evolve
Nature category	165	0
Nature days	165	1
Nature location	165	none
Nature phase	165	none
Nature action	166	Nature-evolve
Nature category	166	0
Nature days	166	2
Nature location	166	none
Nature phase	166	none
Nature action	167	Nature-evolve
Nature category	167	0
Nature days	167	3
Nature location	167	none
Nature phase	167	none
Nature action	168	Nature-evolve
Nature category	168	5
Nature days	168	0
Nature location	168	Region09
Nature phase	168	approaching
Nature action	169	Nature-evolve
Nature category	169	4
Nature days	169	1
Nature location	169	Region09
Nature phase	169	approaching
Nature action	170	Nature-evolve
Nature category	170	4
Nature days	170	2
Nature location	170	Region09
Nature phase	170	approaching
Nature action	171	Nature-evolve
Nature category	171	4
Nature days	171	0
Nature location	171	Region09
Nature phase	171	active
Nature action	172	Nature-evolve
Nature category	172	4
Nature days	172	1
Nature location	172	Region10
Nature phase	172	active
Nature action	173	Nature-evolve
Nature category	173	4
Nature days	173	2
Nature location	173	Region11
Nature phase	173	active
Nature action	174	Nature-evolve
Nature category	174	4
Nature days	174	3
Nature location	174	Region07
Nature phase	174	active
Nature action	175	Nature-evolve
Nature category	175	4
Nature days	175	4
Nature location	175	Region03
Nature phase	175	active
Nature action	176	Nature-evolve
Nature category	176	4
Nature days	176	5
Nature location	176	Region03
Nature phase	176	active
Nature action	177	Nature-evolve
Nature category	177	4
Nature days	177	6
Nature location	177	Region04
Nature phase	177	active
Nature action	178	Nature-evolve
Nature category	178	4
Nature days	178	7
Nature location	178	none
Nature phase	178	active
Nature action	179	Nature-evolve
Nature category	179	0
Nature days	179	0
Nature location	179	none
Nature phase	179	none
Nature action	180	Nature-evolve
Nature category	180	0
Nature days	180	1
Nature location	180	none
Nature phase	180	none
Nature action	181	Nature-evolve
Nature category	181	0
Nature days	181	2
Nature location	181	none
Nature phase	181	none
Nature action	365	Nature-evolve
Nature category	365	0
Nature days	365	0
Nature location	365	none
Nature phase	365	none
Nature action	366	Nature-evolve
Nature category	366	0
Nature days	366	1
Nature location	366	none
Nature phase	366	none
Nature action	367	Nature-evolve
Nature category	367	0
Nature days	367	2
Nature location	367	none
Nature phase	367	none
Nature action	368	Nature-evolve
Nature category	368	0
Nature days	368	3
Nature location	368	none
Nature phase	368	none
Nature action	369	Nature-evolve
Nature category	369	3
Nature days	369	0
Nature location	369	Region05
Nature phase	369	approaching
Nature action	370	Nature-evolve
Nature category	370	3
Nature days	370	1
Nature location	370	Region05
Nature phase	370	approaching
Nature action	371	Nature-evolve
Nature category	371	2
Nature days	371	2
Nature location	371	Region05
Nature phase	371	approaching
Nature action	372	Nature-evolve
Nature category	372	2
Nature days	372	0
Nature location	372	Region05
Nature phase	372	active
Nature action	373	Nature-evolve
Nature category	373	2
Nature days	373	1
Nature location	373	Region01
Nature phase	373	active
Nature action	374	Nature-evolve
Nature category	374	2
Nature days	374	2
Nature location	374	none
Nature phase	374	active
Nature action	375	Nature-evolve
Nature category	375	0
Nature days	375	0
Nature location	375	none
Nature phase	375	none
Nature action	376	Nature-evolve
Nature category	376	0
Nature days	376	1
Nature location	376	none
Nature phase	376	none
Nature action	377	Nature-evolve
Nature category	377	0
Nature days	377	2
Nature location	377	none
Nature phase	377	none
Nature action	378	Nature-evolve
Nature category	378	2
Nature days	378	0
Nature location	378	Region13
Nature phase	378	approaching
Nature action	379	Nature-evolve
Nature category	379	2
